,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,Label,Name
2009-12-16,1.5497565725413827,1.3493630001794368,1.400183318056829,1.3259904068218158,1.3809783597017642,1.3002459592410403,1.4192535107169255,1.5692700156985873,1.6133732534930139,1.6962520593080725,1.5276061776061778,1.5799014778325127,1.6552423443520583,1.6493322541481183,1.6775051124744378,1.6092068553208452,1.6557809330628808,1.6333467417538214,1.6206965572457968,1.2826011157601118,1.0477009696590556,0.8598011363636364,0.5835752298016448,0.6676856451407465,0.6785897435897437,0.45736865538735527,0.5778500843576766,0.4429138197046507,0.373871983210913,-0.0017535834095759872,-0.011849056603773556,,AMZN
2009-12-17,1.3211914588193077,1.3714023831347393,1.2980991295079058,1.352427714129842,1.2726633872101196,1.3902439024390247,1.5384615384615388,1.5820359281437129,1.6639209225700164,1.4972972972972975,1.5489655172413794,1.6234029608598664,1.6175637393767706,1.6453987730061352,1.5779194898365887,1.623935091277891,1.6017699115044253,1.5892714171337072,1.255230125523013,1.2086392351032953,1.0615139442231079,0.7815727861176149,0.5587420171104955,0.664864864864865,0.6353982300884959,0.47671232876712355,0.5258315640481246,0.44230125989519475,0.35668589407446283,-0.020890099909173454,-0.01070663811563155,,AMZN
2009-12-18,1.344821264894592,1.2723396695683071,1.3260592835060918,1.2471890372452563,1.363451589061345,1.5100078492935634,1.5530938123752493,1.6340609555189456,1.4693050193050192,1.5203940886699505,1.5939971608193062,1.5882233913395383,1.6157464212678936,1.549023515344759,1.5945233265720082,1.57260659694288,1.5602481985588468,1.2299511854951186,1.1838825337203347,1.1013635616888453,1.036783439490446,0.7517118597644481,0.5805016681082416,0.6457797220792589,0.5617826617826616,0.4831864564007422,0.5018198896324997,0.3985348786354692,0.3336461265769992,-0.026560121765601297,-0.023065760329947338,,AMZN
2009-12-21,1.3179960916681468,1.3727950536461173,1.2923401264933236,1.4109386548410936,1.5604395604395602,1.6043912175648698,1.6869851729818777,1.518918918918919,1.5710344827586207,1.646116406408436,1.6402266288951837,1.6683026584867076,1.6002391390992425,1.646653144016227,1.6242960579243761,1.6116893514811848,1.2747559274755926,1.227761652723237,1.1435846886807952,1.0586935941937519,1.0349344978165935,0.7721037620535107,0.6232893754665338,0.6683288582022759,0.5557410277810895,0.5562977099236639,0.5412237184030237,0.4057315233785821,0.36958119030124914,-0.0032085561497326998,0.008658008658008365,,AMZN
2009-12-22,1.4324422622294959,1.3499648629655656,1.4715447154471546,1.6248037676609104,1.6698602794411177,1.7545304777594724,1.5822393822393823,1.6356650246305415,1.7126343540863918,1.7065965196276807,1.7353783231083844,1.665603826225588,1.713184584178499,1.6902654867256635,1.6773418734987988,1.3319386331938632,1.2837630186102098,1.1974700180712996,1.1104449353108232,1.187408013082584,1.051533742331288,0.7503271394922792,0.6665836032893095,0.6229070613928656,0.5996173164314755,0.5835207766070794,0.590487514863258,0.4539130434782608,0.42814435191116806,0.024666768806496098,0.045735282620592566,,AMZN
2009-12-23,1.3682361208713987,1.4907612712490765,1.6452119309262168,1.69061876247505,1.7759472817133446,1.602316602316603,1.6561576354679803,1.7337254106672075,1.727640631323351,1.7566462167689165,1.6863292148266242,1.7342799188640976,1.7111826226870477,1.6981585268214574,1.350069735006974,1.301519549257299,1.2145556103170696,1.1268538971284316,1.2044153720359771,1.1335865780310228,1.167202572347267,0.7447579601346104,0.6639920997407729,0.6180530548553596,0.5967780146884625,0.5740308267164878,0.6045708844185216,0.4741907261592302,0.21386762719495733,0.05510331872260488,0.03310852237890871,,AMZN
2009-12-24,1.572062084257206,1.7315541601255884,1.7784431137724548,1.8665568369028005,1.6872586872586872,1.7428571428571424,1.8229568038937334,1.816673411574261,1.8466257668711656,1.7740135512156234,1.8235294117647056,1.7996781979082863,1.786228983186549,1.4267782426778242,1.3766433327642136,1.286840808279941,1.196276427895235,1.2763695829926407,1.2032288698955362,1.0913461538461537,1.2275564090254436,0.8084968169416655,0.6795366795366795,0.6295949426363847,0.7161878929848353,0.6231343283582087,0.6418966737438074,0.5289982425307556,0.16768727455750354,0.06219000381533757,0.04066985645933019,,AMZN
2009-12-28,1.7423469387755102,1.7894211576846306,1.8778830313014825,1.6978764478764479,1.7536945812807883,1.8341107280470492,1.8278025091056254,1.8578732106339468,1.7849740932642488,1.8346855983772823,1.8107401448109415,1.7972377902321859,1.4363668061366806,1.3860338057025783,1.2958764580252997,1.2049542442410854,1.2853638593622243,1.211934156378601,1.099609375,1.1126228269085412,1.1097524154589373,0.8405109969708942,0.6892300253837784,0.6195387646308956,0.7813894200127469,0.6144870609981514,0.70572439887709,0.5196824706394085,0.13682583584153574,0.046267874522722297,0.036721068249258026,,AMZN
2009-12-29,1.8201596806387221,1.909596375617792,1.7276061776061775,1.7840394088669949,1.8653417156763332,1.8589639821934436,1.8893660531697343,1.8156636110003985,1.865922920892495,1.8417135961383746,1.8280624499599676,1.4632147838214782,1.4123271299299982,1.321176277312305,1.2292521300094665,1.3105478331970564,1.2363089585311808,1.1227463942307692,1.135903250188964,1.2391442155309034,1.0671543525969276,0.822861566249516,0.7729953570084076,0.6287031700288184,0.7991850248312746,0.6151120256058527,0.7499380728263563,0.5314329070019508,0.16221107181047967,0.059860475583227046,0.01501436781609189,,AMZN
2009-12-30,1.8500823723228996,1.6718146718146722,1.7270935960591136,1.8067329142161834,1.800485633346823,1.830265848670757,1.7580709445994422,1.8073022312373226,1.783588093322607,1.7702161729383508,1.4128312412831243,1.362984463035684,1.2736980450139646,1.1836541495739983,1.2632869991823386,1.1905666350110797,1.079326923076923,1.0922146636432348,1.1933438985736924,1.1881422924901188,0.9873635841470421,0.7334669338677355,0.8020833333333335,0.5920855861037615,0.8100967826314416,0.6160672582905184,0.7510121457489878,0.49621621621621625,0.11702986279257455,0.062164236377590054,-0.009660107334525936,,AMZN
