,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,Label,Name
2009-12-16,1.2721280602636535,1.0946180555555554,1.0328559393428813,1.125991189427313,1.158318425760286,1.0928013876843017,1.1563896336014299,1.21173235563703,1.261480787253983,1.4226907630522083,1.3135186960690315,1.3820335636722603,1.4572301425661913,1.2157943067033976,1.2467411545623834,1.1956323930846224,1.1641255605381162,1.118525021949078,1.096437880104257,1.1074235807860262,1.213761467889908,0.8676470588235294,0.582295081967213,0.4803680981595091,0.44059701492537306,0.245740836344863,0.18284313725490198,0.050043516100957364,0.03031596925704516,-0.03826225587883625,-0.0012417218543047115,,AAPL
2009-12-17,1.0850694444444446,1.0235888795282224,1.1162995594713658,1.1484794275491952,1.0832610581092803,1.1465594280607685,1.2016498625114571,1.2511715089034676,1.4116465863453813,1.3029721955896454,1.3711747285291214,1.4460285132382893,1.2056932966023872,1.2364990689013036,1.1856232939035487,1.1542600896860984,1.108867427568042,1.0868809730668985,1.097816593886463,1.17967332123412,1.1836363636363636,0.8420245398773007,0.555699481865285,0.4557575757575758,0.4306134603930911,0.23750643997939203,0.15870718765074776,0.053971039929793685,0.03400774860094691,-0.05470287288469111,-0.008257638315441795,,AAPL
2009-12-18,1.0126368997472621,1.1048458149779736,1.136851520572451,1.0719861231569818,1.1349419124218052,1.1897341888175985,1.2389878163074042,1.3985943775100402,1.2905081495685522,1.358341559723593,1.4327902240325865,1.1937557392102844,1.2243947858472999,1.1737943585077342,1.1426008968609866,1.0974539069359088,1.0755864465682015,1.08646288209607,1.1678765880217785,1.1011433597185576,1.1426008968609866,0.8562548562548564,0.5304292120435619,0.4271206690561531,0.38172353961827654,0.20595658758202928,0.13545627376425862,0.043231441048035,-0.037081821846029706,-0.06276971361318151,-0.009946125155408159,,AAPL
2009-12-21,1.1365638766519823,1.169051878354204,1.103209019947962,1.1671134941912422,1.222731439046746,1.272727272727273,1.4347389558232928,1.3250239693192714,1.393879565646594,1.4694501018329937,1.2268135904499538,1.2579143389199254,1.2065514103730663,1.1748878923766815,1.129060579455663,1.106863596872285,1.1179039301310043,1.2005444646098002,1.1328056288478452,1.103209019947962,1.1671134941912422,0.7804698972099855,0.5584832904884318,0.436611374407583,0.36696730552423906,0.23409669211195938,0.15696564885496178,0.05756650675970354,-0.017024726388325973,-0.050509005481597424,0.009575353871773551,,AAPL
2009-12-22,1.2057245080500896,1.1387684301821337,1.2037533512064345,1.2603116406966084,1.3111527647610122,1.475903614457831,1.3643336529242571,1.4343534057255676,1.511201629327902,1.2644628099173554,1.2960893854748603,1.2438580527752503,1.211659192825112,1.1650570676031604,1.1424847958297133,1.1537117903930132,1.2377495462794919,1.1688654353562007,1.1387684301821337,1.1499564080209241,1.2561756633119856,0.7464589235127479,0.5548549810844894,0.4345549738219894,0.39875212705615426,0.2549618320610687,0.18046912398276693,0.06522678185745145,-0.026066350710900466,-0.02529644268774711,0.0322310590205106,,AAPL
2009-12-23,1.157849089332177,1.2234137622877568,1.2804766269477543,1.331771321462043,1.4979919678714855,1.3854266538830298,1.4560710760118458,1.5336048879837065,1.2846648301193753,1.3165735567970205,1.2638762511373973,1.231390134529148,1.1843722563652324,1.161598609904431,1.17292576419214,1.2577132486388383,1.1882145998240987,1.157849089332177,1.1691368788142982,1.0733333333333333,1.3900096061479346,0.7508796622097114,0.5273173726212401,0.43731946851530923,0.4016901408450704,0.244,0.1921418303785336,0.10528653931585952,-0.022012578616352307,0.010150223304912664,0.02597938144329892,,AAPL
2009-12-24,1.2493297587131371,1.307057745187901,1.3589503280224933,1.5271084337349397,1.4132310642377757,1.4846989141164855,1.5631364562118129,1.3112947658402203,1.3435754189944134,1.2902638762511374,1.2573991031390137,1.2098331870061458,1.1867940920938316,1.1982532751091708,1.2840290381125228,1.2137203166226915,1.183000867302689,1.1944202266782913,1.0975000000000001,1.0347615198059823,1.3971428571428572,0.746703678001388,0.5263796240145546,0.4523946912867862,0.4407555809959933,0.24851190476190488,0.1816901408450704,0.10686015831134577,-0.0007939658594680044,0.002389486260454099,0.020681265206812682,,AAPL
2009-12-28,1.399633363886343,1.4536082474226806,1.6285140562248994,1.5100671140939599,1.5844027640671272,1.6659877800407332,1.404040404040404,1.4376163873370578,1.3821656050955413,1.347982062780269,1.2985074626865671,1.2745438748913989,1.2864628820960702,1.3756805807622503,1.3025505716798595,1.2705984388551608,1.2824760244115083,1.1816666666666666,1.1164106709781731,1.089385474860335,1.3564356435643568,0.8333333333333335,0.5992669517409894,0.4568725653867558,0.526530612244898,0.2814488497307881,0.2586538461538461,0.13382416630576,0.049719326383319995,0.031114612051988955,0.05225080385852099,,AAPL
2009-12-29,1.46485473289597,1.640562248995984,1.5215723873441998,1.596248766041461,1.6782077393075356,1.4150596877869606,1.4487895716945998,1.3930846223839857,1.3587443946188342,1.309043020193152,1.2849695916594266,1.2969432314410483,1.3865698729582578,1.3131046613896222,1.2810060711188207,1.2929380993897124,1.1916666666666669,1.126111560226354,1.0989624900239425,1.2063758389261747,1.2889469103568318,0.795221843003413,0.6478696741854637,0.4783586284429455,0.5353181552831292,0.2892156862745099,0.2656400384985562,0.1424847958297133,0.0756646216768917,0.03543307086614189,0.04489471593166461,,AAPL
2009-12-30,1.5933734939759034,1.476510067114094,1.5498519249753206,1.630346232179226,1.3719008264462809,1.4050279329608935,1.3503184713375793,1.3165919282511207,1.2677787532923617,1.244135534317984,1.2558951965065503,1.3439201451905625,1.2717678100263852,1.2402428447528187,1.251961639058413,1.1524999999999999,1.088116410670978,1.0614525139664805,1.1669463087248322,1.179746835443038,1.1687657430730476,0.740566037735849,0.6399999999999999,0.4519392917369309,0.5365853658536586,0.26,0.2686640471512769,0.12696335078534005,0.07089552238805963,0.048295454545454364,-0.013368983957219305,,AAPL
